#t(days)      M_bol           U             B            V           R            I             J          H           K
#
#  absolute magnitude  *  -1 
#
      8.72   1.8271e+01   1.8845e+01   1.8415e+01   1.8310e+01   1.8119e+01   1.7770e+01   1.6130e+01   1.1397e+01  -8.2279e+01 
      8.97   1.8269e+01   1.8835e+01   1.8419e+01   1.8323e+01   1.8130e+01   1.7777e+01   1.5987e+01   1.1430e+01  -8.2279e+01 
      9.22   1.8270e+01   1.8822e+01   1.8430e+01   1.8334e+01   1.8139e+01   1.7791e+01   1.5920e+01   1.1101e+01  -8.2279e+01 
      9.47   1.8270e+01   1.8824e+01   1.8434e+01   1.8333e+01   1.8140e+01   1.7798e+01   1.5814e+01   1.0685e+01  -8.2279e+01 
      9.72   1.8261e+01   1.8805e+01   1.8435e+01   1.8340e+01   1.8131e+01   1.7799e+01   1.5724e+01   1.0857e+01  -8.2279e+01 
      9.97   1.8255e+01   1.8795e+01   1.8436e+01   1.8332e+01   1.8132e+01   1.7810e+01   1.5560e+01   1.0961e+01  -8.2279e+01 
     10.22   1.8253e+01   1.8788e+01   1.8442e+01   1.8331e+01   1.8123e+01   1.7813e+01   1.5433e+01   1.0333e+01  -8.2279e+01 
     10.47   1.8247e+01   1.8769e+01   1.8440e+01   1.8338e+01   1.8128e+01   1.7832e+01   1.5358e+01   1.0687e+01  -8.2279e+01 
     10.72   1.8239e+01   1.8761e+01   1.8443e+01   1.8329e+01   1.8112e+01   1.7807e+01   1.5203e+01   1.0406e+01  -8.2279e+01 
     10.97   1.8228e+01   1.8758e+01   1.8428e+01   1.8311e+01   1.8102e+01   1.7825e+01   1.5123e+01   9.7593e+00  -8.2279e+01 
     11.22   1.8223e+01   1.8753e+01   1.8434e+01   1.8294e+01   1.8092e+01   1.7823e+01   1.4917e+01   1.0287e+01  -8.2279e+01 
     11.47   1.8208e+01   1.8725e+01   1.8427e+01   1.8289e+01   1.8078e+01   1.7840e+01   1.4851e+01   9.8635e+00  -8.2279e+01 
     11.72   1.8185e+01   1.8682e+01   1.8410e+01   1.8275e+01   1.8063e+01   1.7820e+01   1.4827e+01   1.0032e+01  -8.2279e+01 
     11.97   1.8160e+01   1.8630e+01   1.8395e+01   1.8259e+01   1.8050e+01   1.7830e+01   1.4807e+01   1.0546e+01  -8.2279e+01 
     12.22   1.8137e+01   1.8594e+01   1.8383e+01   1.8244e+01   1.8024e+01   1.7812e+01   1.4654e+01   9.6712e+00  -8.2279e+01 
     12.47   1.8110e+01   1.8542e+01   1.8361e+01   1.8232e+01   1.8011e+01   1.7815e+01   1.4567e+01   9.8418e+00  -8.2279e+01 
     12.72   1.8065e+01   1.8460e+01   1.8330e+01   1.8197e+01   1.7970e+01   1.7790e+01   1.4607e+01   9.4123e+00  -8.2279e+01 
     12.97   1.8021e+01   1.8366e+01   1.8291e+01   1.8183e+01   1.7954e+01   1.7800e+01   1.4602e+01   1.0454e+01  -8.2279e+01 
     13.22   1.7972e+01   1.8272e+01   1.8246e+01   1.8153e+01   1.7920e+01   1.7788e+01   1.4599e+01   9.9923e+00  -8.2279e+01 
