-23.0   20.000 20.000 20.000 20.000 20.000
-22.0    4.192  4.733  5.152  5.173  5.653
-21.0    3.456  3.997  4.416  4.437  4.917
-20.0    2.896  3.436  3.856  3.876  4.356
-19.0    2.450  2.990  3.410  3.430  3.856
-18.0    2.078  2.619  3.008  3.029  3.446
-17.0    1.752  2.303  2.624  2.644  3.120
-16.0    1.449  2.042  2.295  2.312  2.763
-15.0    1.123  1.740  2.052  2.010  2.328
-14.0    0.804  1.468  1.795  1.716  1.966
-13.0    0.508  1.217  1.541  1.373  1.642
-12.0    0.256  0.986  1.298  1.072  1.372
-11.0    0.048  0.781  1.071  0.861  1.161
-10.0   -0.133  0.608  0.864  0.690  0.990
 -9.0   -0.275  0.466  0.680  0.573  0.873
 -8.0   -0.380  0.353  0.533  0.478  0.778
 -7.0   -0.469  0.256  0.414  0.398  0.698
 -6.0   -0.540  0.176  0.318  0.326  0.626
 -5.0   -0.591  0.117  0.242  0.267  0.572
 -4.0   -0.622  0.076  0.185  0.226  0.547
 -3.0   -0.630  0.043  0.143  0.193  0.522
 -2.0   -0.623  0.017  0.109  0.167  0.512
 -1.0   -0.609  0.004  0.087  0.148  0.510
  0.0   -0.579  0.000  0.071  0.140  0.514
  1.0   -0.537  0.006  0.059  0.132  0.520
  2.0   -0.494  0.022  0.058  0.108  0.521
  3.0   -0.444  0.039  0.050  0.091  0.529
  4.0   -0.386  0.064  0.057  0.090  0.546
  5.0   -0.321  0.095  0.059  0.096  0.569
  6.0   -0.249  0.133  0.069  0.109  0.603
  7.0   -0.171  0.178  0.085  0.135  0.645
  8.0   -0.085  0.229  0.103  0.179  0.688
  9.0    0.016  0.288  0.129  0.238  0.738
 10.0    0.116  0.355  0.162  0.296  0.796
 11.0    0.229  0.428  0.202  0.361  0.861
 12.0    0.347  0.503  0.244  0.433  0.928
 13.0    0.464  0.579  0.289  0.496  0.976
 14.0    0.581  0.655  0.337  0.538  0.993
 15.0    0.698  0.739  0.379  0.580  1.010
 16.0    0.815  0.823  0.429  0.621  1.035
 17.0    0.932  0.913  0.473  0.663  1.060
 18.0    1.049  1.000  0.510  0.710  1.085
 19.0    1.167  1.087  0.546  0.740  1.083
 20.0    1.284  1.179  0.588  0.740  1.043
 21.0    1.401  1.271  0.630  0.740  1.010
 22.0    1.518  1.363  0.663  0.740  0.976
 23.0    1.635  1.455  0.704  0.740  0.936
 24.0    1.752  1.542  0.740  0.735  0.894
 25.0    1.862  1.626  0.777  0.744  0.870
 26.0    1.961  1.711  0.819  0.776  0.868
 27.0    2.052  1.803  0.861  0.801  0.860
 28.0    2.136  1.878  0.912  0.826  0.851
 29.0    2.213  1.961  0.955  0.844  0.843
 30.0    2.283  2.039  1.002  0.866  0.829
 31.0    2.346  2.114  1.067  0.903  0.835
 32.0    2.402  2.187  1.149  0.953  0.866
 33.0    2.452  2.255  1.225  1.003  0.892
 34.0    2.494  2.330  1.317  1.053  0.917
 35.0    2.528  2.391  1.388  1.096  0.942
 36.0    2.562  2.455  1.460  1.138  0.961
 37.0    2.591  2.514  1.527  1.192  1.006
 38.0    2.616  2.567  1.588  1.257  1.084
 39.0    2.641  2.624  1.655  1.314  1.166
 40.0    2.657  2.675  1.722  1.365  1.233
 41.0    2.674  2.717  1.774  1.422  1.307
 42.0    2.691  2.759  1.824  1.469  1.371
 43.0    2.712  2.801  1.875  1.515  1.429
 44.0    2.734  2.840  1.922  1.563  1.488
 45.0    2.751  2.874  1.964  1.605  1.547
 46.0    2.768  2.907  2.006  1.647  1.605
 47.0    2.785  2.941  2.056  1.688  1.656
 48.0    2.807  2.974  2.100  1.724  1.706
 49.0    2.828  3.003  2.137  1.762  1.752
 50.0    2.845  3.031  2.173  1.801  1.794
 51.0    2.862  3.063  2.214  1.836  1.836
 52.0    2.878  3.089  2.248  1.878  1.878
 53.0    2.903  3.114  2.281  1.904  1.919
 54.0    2.922  3.139  2.321  1.935  1.961
 55.0    2.939  3.159  2.353  1.964  1.994
 56.0    2.955  3.179  2.381  1.989  2.019
 57.0    2.973  3.203  2.414  2.013  2.044
 58.0    2.998  3.219  2.439  2.029  2.069
 59.0    3.015  3.228  2.456  2.054  2.094
 60.0    3.032  3.243  2.485  2.079  2.119
 61.0    3.044  3.255  2.509  2.104  2.149
 62.0    3.056  3.266  2.529  2.133  2.183
 63.0    3.072  3.283  2.554  2.165  2.216
 64.0    3.089  3.300  2.579  2.190  2.250
 65.0    3.098  3.308  2.596  2.223  2.283
 66.0    3.113  3.323  2.619  2.250  2.317
 67.0    3.129  3.340  2.650  2.280  2.350
 68.0    3.143  3.353  2.676  2.310  2.384
 69.0    3.153  3.364  2.695  2.337  2.419
 70.0    3.170  3.380  2.720  2.370  2.460
