# day u'
# ref=Nugent et al 202, Kasen 2010, Bianco et al. 2011
# jd_expl=   0   
# type= smooth
0 37.4427682126 u
1 25.9 u
2 27.4479122893 u
3 30.7557956906 u
4 31.3253333377 u
5 31.4204643382 u
6 31.4055838316 u
7 31.0581463539 u
8 30.7596044868 u
9 30.615369344 u
10 30.4757977506 u
11 30.2531802048 u
12 30.0815238303 u
13 29.9436781081 u
14 29.8291350061 u
15 29.7467816055 u
16 29.7089054344 u
17 29.7022411353 u
18 29.7166056468 u
19 29.7413352491 u
20 29.7928446872 u
21 29.8443319468 u
22 29.9066129329 u
23 29.9814973279 u
24 30.0669392659 u
25 30.162083027 u
26 30.2674914333 u
27 30.3966755935 u
28 30.5255071544 u
29 30.6750854248 u
30 30.8196188229 u
31 30.9645453947 u
32 31.1084935524 u
33 31.2527657221 u
34 31.4041960407 u
35 31.5577653962 u
36 31.7104795905 u
37 31.8513286852 u
38 31.9919569481 u
39 32.1321812289 u
40 32.2730959057 u
41 32.3796332313 u
42 32.4721654718 u
43 32.5537388255 u
44 32.6388014018 u
45 32.7145819265 u
46 32.7794560327 u
47 32.837292323 u
48 32.8886239391 u
49 32.9311048578 u
50 32.9726030027 u
51 33.0001595107 u
52 33.0271158895 u
53 33.0443638282 u
54 33.0628335635 u
55 33.0843429437 u
56 33.1149693398 u
57 33.1365618666 u
58 33.1556685822 u
59 33.1743993343 u
60 33.2032254062 u
61 33.2226087881 u
62 33.2380074871 u
63 33.2532275559 u
64 33.2792396157 u
65 33.2991870666 u
66 33.3196421902 u
67 33.3396411476 u
68 33.3699537848 u
69 33.3982070268 u
70 33.4261508845 u
71 33.4441376711 u
72 33.4647892111 u
73 33.4846081285 u
74 33.4955387094 u
75 33.5157901928 u
76 33.5372511222 u
77 33.5500308272 u
78 33.572066461 u
79 33.5923524454 u
80 33.6031919352 u
81 33.6237000122 u
82 33.644313858 u
83 33.6548357016 u
84 33.6745421346 u
85 33.6942316715 u
86 33.7054187473 u
87 33.7260651528 u
88 33.7467688505 u
89 33.7580908693 u
90 33.7784142348 u
