-13.0   59.390 59.450 59.170 59.010 58.980
-12.0    4.396  4.456  4.176  4.016  3.986
-11.0    3.253  3.313  3.033  2.873  2.843
-10.0    2.528  2.588  2.308  2.148  2.118
 -9.0    1.949  2.057  1.777  1.617  1.587
 -8.0    1.380  1.520  1.240  1.080  1.050
 -7.0    0.936  1.059  0.779  0.619  0.589
 -6.0    0.547  0.689  0.409  0.249  0.219
 -5.0    0.367  0.408  0.124 -0.032 -0.100
 -4.0    0.299  0.276 -0.032 -0.188 -0.268
 -3.0    0.236  0.152 -0.181 -0.341 -0.405
 -2.0    0.189  0.077 -0.293 -0.469 -0.524
 -1.0    0.176  0.019 -0.390 -0.570 -0.614
  0.0    0.199  0.011 -0.451 -0.641 -0.673
  1.0    0.263  0.036 -0.487 -0.686 -0.713
  2.0    0.358  0.075 -0.513 -0.711 -0.742
  3.0    0.506  0.170 -0.500 -0.712 -0.744
  4.0    0.669  0.294 -0.467 -0.693 -0.742
  5.0    0.849  0.453 -0.405 -0.657 -0.715
  6.0    1.050  0.623 -0.320 -0.608 -0.693
  7.0    1.222  0.811 -0.217 -0.538 -0.658
  8.0    1.443  0.990 -0.110 -0.466 -0.635
  9.0    1.603  1.171  0.014 -0.387 -0.601
 10.0    1.747  1.332  0.129 -0.309 -0.561
 11.0    1.812  1.405  0.206 -0.231 -0.496
 12.0    1.878  1.478  0.283 -0.153 -0.430
 13.0    1.943  1.551  0.361 -0.076 -0.365
 14.0    2.009  1.624  0.438  0.002 -0.300
 15.0    2.074  1.697  0.515  0.080 -0.234
 16.0    2.139  1.771  0.593  0.158 -0.169
 17.0    2.205  1.844  0.670  0.236 -0.104
 18.0    2.270  1.917  0.747  0.314 -0.038
 19.0    2.336  1.990  0.825  0.391  0.027
 20.0    2.401  2.063  0.902  0.469  0.093
 21.0    2.467  2.136  0.979  0.547  0.158
 22.0    2.532  2.209  1.056  0.625  0.223
 23.0    2.597  2.282  1.134  0.703  0.289
 24.0    2.663  2.355  1.211  0.780  0.354
 25.0    2.728  2.428  1.288  0.858  0.419
 26.0    2.794  2.501  1.366  0.936  0.485
 27.0    2.853  2.569  1.438  1.011  0.549
 28.0    2.878  2.607  1.480  1.064  0.606
 29.0    2.902  2.645  1.523  1.118  0.663
 30.0    2.927  2.683  1.565  1.173  0.721
 31.0    2.955  2.719  1.608  1.233  0.783
 32.0    2.985  2.753  1.650  1.290  0.843
 33.0    3.029  2.780  1.690  1.338  0.897
 34.0    3.064  2.806  1.730  1.388  0.951
 35.0    3.059  2.830  1.766  1.441  1.004
 36.0    3.054  2.854  1.802  1.494  1.056
 37.0    3.049  2.878  1.838  1.547  1.108
 38.0    3.043  2.903  1.875  1.601  1.160
 39.0    3.038  2.927  1.911  1.654  1.213
 40.0    3.042  2.953  1.946  1.704  1.264
 41.0    3.086  2.987  1.976  1.742  1.311
 42.0    3.127  3.019  2.006  1.778  1.355
 43.0    3.155  3.041  2.035  1.809  1.383
 44.0    3.184  3.064  2.064  1.839  1.410
 45.0    3.212  3.086  2.093  1.870  1.438
 46.0    3.241  3.108  2.122  1.900  1.466
 47.0    3.269  3.130  2.151  1.931  1.493
 48.0    3.297  3.153  2.180  1.961  1.521
 49.0    3.326  3.175  2.209  1.992  1.549
 50.0    3.354  3.197  2.238  2.022  1.576
 51.0    3.383  3.219  2.267  2.053  1.604
 52.0    3.411  3.242  2.296  2.083  1.632
 53.0    3.439  3.264  2.325  2.114  1.660
 54.0    3.468  3.286  2.353  2.144  1.687
 55.0    3.496  3.308  2.382  2.175  1.715
 56.0    3.525  3.331  2.411  2.205  1.743
 57.0    3.553  3.353  2.440  2.236  1.770
 58.0    3.581  3.375  2.469  2.266  1.798
 59.0    3.610  3.397  2.498  2.297  1.826
 60.0    3.638  3.420  2.527  2.327  1.853
 61.0    3.666  3.442  2.556  2.358  1.881
 62.0    3.695  3.464  2.585  2.388  1.909
 63.0    3.723  3.486  2.614  2.419  1.936
 64.0    3.752  3.509  2.643  2.449  1.964
 65.0    3.780  3.531  2.672  2.480  1.992
 66.0    3.808  3.553  2.701  2.510  2.019
 67.0    3.837  3.575  2.730  2.541  2.047
 68.0    3.865  3.598  2.759  2.571  2.075
 69.0    3.894  3.620  2.788  2.602  2.103
 70.0    3.922  3.642  2.817  2.632  2.130
 71.0    3.950  3.664  2.845  2.663  2.158
 72.0    3.979  3.687  2.874  2.693  2.186
