# jd_expl= 2453549.0
# missing data interp 1
# _filter= V
# ABtot= 0.156538593538
# 
9.841170270265885733e+01 1.483357628814654738e+01
9.941164864860537875e+01 1.484310516312253192e+01
1.004115945945519002e+02 1.487137640259496507e+01
1.014115405404984216e+02 1.488686191401468228e+01
1.024114864864449572e+02 1.490453194850428176e+01
1.034114324323914786e+02 1.492472046246158612e+01
1.044113783783380001e+02 1.494774737340167370e+01
1.054113243242845215e+02 1.497391775197458230e+01
1.064112702702310571e+02 1.500352944313285342e+01
1.074112162161775785e+02 1.503688816563520270e+01
1.084111621621241000e+02 1.507432850031803184e+01
1.094111081080706214e+02 1.511623936754110531e+01
1.104110540540171570e+02 1.516309308117811483e+01
1.114109999999636784e+02 1.521547712460441915e+01
1.124109459459101998e+02 1.527412665782026480e+01
1.134108918918567213e+02 1.533995278274777263e+01
1.144108378378032569e+02 1.541405657336290957e+01
1.154107837837497783e+02 1.549771274387795117e+01
1.164107297296962997e+02 1.559230241801462569e+01
1.174106756756428211e+02 1.569917670207021132e+01
1.184106216215893568e+02 1.581944697190227878e+01
1.194105675675358782e+02 1.595372535653605617e+01
1.204105135134823996e+02 1.610187221877756159e+01
1.214104594594289210e+02 1.626282919116835401e+01
1.224104054053754567e+02 1.643460803722323504e+01
1.234103513513219781e+02 1.661446217801002945e+01
1.244102972972684995e+02 1.679920575891195966e+01
1.254102432432150209e+02 1.698559478557480418e+01
1.264101891891615566e+02 1.717067015527786467e+01
1.274101351351080780e+02 1.735198653712693329e+01
1.284100810810546136e+02 1.752769751627182160e+01
1.294100270270011208e+02 1.769651307175094956e+01
1.304099729729476564e+02 1.785757380342160161e+01
1.314099189188941637e+02 1.801029313125044240e+01
1.324098648648406993e+02 1.815420964776607349e+01
1.334098108107872349e+02 1.828887639476200988e+01
1.344097567567337421e+02 1.841379984122725588e+01
1.354097027026802778e+02 1.852843213554069024e+01
1.364096486486267850e+02 1.863221478020881960e+01
1.374095945945733206e+02 1.872466665660228458e+01
1.384095405405198562e+02 1.880550104963164060e+01
1.394094864864663634e+02 1.887474521931560645e+01
1.404094324324128991e+02 1.893282755229364511e+01
1.414093783783594347e+02 1.898059963912653814e+01
1.424093243243059419e+02 1.901927811852298689e+01
1.434092702702524775e+02 1.905031825858663197e+01
1.444092162161989847e+02 1.907525432031237145e+01
1.454091621621455204e+02 1.909554879048670983e+01
1.464091081080920560e+02 1.911248216184351634e+01
1.474090540540385632e+02 1.912709569301928170e+01
1.484089999999850988e+02 1.914018220490630640e+01
1.494089459459316345e+02 1.915231036888425820e+01
1.504088918918781417e+02 1.916386614151338463e+01
1.514088378378246773e+02 1.917509800535231079e+01
1.524087837837711845e+02 1.918615740819607396e+01
1.534087297297177201e+02 1.919713031494291400e+01
1.544086756756642558e+02 1.920805922015678391e+01
1.554086216216107630e+02 1.921895707252968677e+01
1.564085675675572986e+02 1.922981544095717155e+01
1.574085135135038342e+02 1.924060922156266429e+01
1.584084594594503415e+02 1.925129965873414051e+01
1.594084054053968771e+02 1.926183681808068826e+01
1.604083513513433843e+02 1.927216216596813325e+01
1.614082972972899199e+02 1.928221166388847863e+01
1.624082432432364556e+02 1.929191968589359618e+01
1.634081891891829628e+02 1.930122390326853932e+01
1.644081351351294984e+02 1.931007086005491757e+01
1.654080810810760056e+02 1.931842131682974539e+01
1.664080270270225412e+02 1.932625393587731111e+01
1.674079729729690769e+02 1.933356601311999512e+01
1.684079189189155841e+02 1.934037086838184294e+01
1.694078648648621197e+02 1.934669270522745776e+01
1.704078108108086553e+02 1.935256050671879535e+01
1.714077567567551625e+02 1.935800248589432115e+01
1.724077027027016982e+02 1.936304199620820654e+01
1.734076486486482054e+02 1.936769511932224219e+01
1.744075945945947410e+02 1.937196971593596828e+01
1.754075405405412766e+02 1.937586559612287829e+01
1.764074864864877838e+02 1.937937551793887891e+01
1.774074324324343195e+02 1.938248681394185269e+01
1.784073783783808551e+02 1.938518348248223333e+01
1.794073243243273623e+02 1.938744853871414264e+01
1.804072702702738979e+02 1.938926633618235584e+01
1.814072162162204052e+02 1.939062452266547965e+01
1.824071621621669408e+02 1.939151535697969564e+01
1.834071081081134764e+02 1.939193629437589550e+01
1.844070540540599836e+02 1.939188997020330163e+01
1.854070000000065193e+02 1.939138386691571014e+01
1.864069459459530549e+02 1.939042998111112936e+01
1.874068918918995621e+02 1.938904473824435115e+01
1.884068378378460977e+02 1.938724929282491516e+01
1.894067837837926049e+02 1.938507023712032051e+01
1.904067297297391406e+02 1.938254061706095754e+01
1.914066756756856762e+02 1.937970101204051332e+01
1.924066216216321834e+02 1.937660031176129038e+01
1.934065675675787190e+02 1.937329580187614297e+01
1.944065135135252262e+02 1.936985231879259928e+01
1.954064594594717619e+02 1.936634052288663810e+01
1.964064054054182975e+02 1.936283463015180573e+01
1.974063513513648047e+02 1.935941007855557316e+01
1.984062972973113403e+02 1.935614152533610621e+01
