0 36.0881096099 u
1 25.9 u
2 27.5140838704 u
3 30.7685517611 u
4 31.0125853022 u
5 30.7733423612 u
6 30.3470250244 u
7 29.8859334965 u
8 29.6424405417 u
9 29.2186710651 u
10 29.1211391479 u
11 28.8985216021 u
12 28.7268652276 u
13 28.5890195054 u
14 28.4744764033 u
15 28.3921230028 u
16 28.3542468317 u
17 28.3475825326 u
18 28.3619470441 u
19 28.3866766463 u
20 28.4381860845 u
21 28.4896733441 u
22 28.5519543302 u
23 28.6268387252 u
24 28.7122806632 u
25 28.8074244243 u
26 28.9128328306 u
27 29.0420169907 u
28 29.1708485517 u
29 29.320426822 u
30 29.4649602202 u
31 29.6098867919 u
32 29.7538349496 u
33 29.8981071193 u
34 30.049537438 u
35 30.2031067935 u
36 30.3558209878 u
37 30.4966700825 u
38 30.6372983454 u
39 30.7775226262 u
40 30.918437303 u
41 31.0249746286 u
42 31.117506869 u
43 31.1990802228 u
44 31.2841427991 u
45 31.3599233238 u
46 31.4247974299 u
47 31.4826337202 u
48 31.5339653364 u
49 31.576446255 u
50 31.6179443999 u
51 31.645500908 u
52 31.6724572867 u
53 31.6897052255 u
54 31.7081749608 u
55 31.729684341 u
56 31.760310737 u
57 31.7819032639 u
58 31.8010099795 u
59 31.8197407316 u
60 31.8485668035 u
61 31.8679501854 u
62 31.8833488844 u
63 31.8985689532 u
64 31.924581013 u
65 31.9445284639 u
66 31.9649835874 u
67 31.9849825449 u
68 32.015295182 u
69 32.0435484241 u
70 32.0714922818 u
71 32.0894790684 u
72 32.1101306083 u
73 32.1299495258 u
74 32.1408801067 u
75 32.1611315901 u
76 32.1825925195 u
77 32.1953722245 u
78 32.2174078583 u
79 32.2376938427 u
80 32.2485333325 u
81 32.2690414094 u
82 32.2896552553 u
83 32.3001770988 u
84 32.3198835319 u
85 32.3395730688 u
86 32.3507601446 u
87 32.37140655 u
88 32.3921102478 u
89 32.4034322666 u
90 32.4237556321 u
