# day g'
# ref=Nugent et al 202, Kasen 2010, Bianco et al. 2011
# jd_expl=   0   
# type= smooth
0 33.7304789004 g
1 23.6 g
2 24.2904021996 g
3 25.5449296824 g
4 25.8789379249 g
5 25.8697256072 g
6 25.9096288349 g
7 25.6128493082 g
8 25.4266964966 g
9 25.1143604036 g
10 25.0828145068 g
11 24.8581792655 g
12 24.6649211104 g
13 24.5127921167 g
14 24.3889182241 g
15 24.2980979522 g
16 24.2539216573 g
17 24.2222752568 g
18 24.1996747632 g
19 24.186074915 g
20 24.1675833478 g
21 24.1726939333 g
22 24.1741415588 g
23 24.1994738713 g
24 24.2259312472 g
25 24.2668729514 g
26 24.3102224605 g
27 24.3610633148 g
28 24.4231572924 g
29 24.4946478678 g
30 24.5645525974 g
31 24.6445372839 g
32 24.7261510242 g
33 24.8123764401 g
34 24.9083009459 g
35 24.9910213267 g
36 25.0958735315 g
37 25.191805699 g
38 25.2819578787 g
39 25.3771585782 g
40 25.4623580261 g
41 25.5462087113 g
42 25.6402291805 g
43 25.7281981435 g
44 25.8148016077 g
45 25.898726002 g
46 26.0014073977 g
47 26.0896854655 g
48 26.2014903685 g
49 26.2856427539 g
50 26.3822619332 g
51 26.4444969105 g
52 26.5225325783 g
53 26.5967945759 g
54 26.6496932707 g
55 26.7057034882 g
56 26.7591269644 g
57 26.8023763182 g
58 26.8477418474 g
59 26.8986714103 g
60 26.9453988014 g
61 26.9774450904 g
62 27.0156974593 g
63 27.0390864561 g
64 27.0663236647 g
65 27.105911079 g
66 27.1295156331 g
67 27.1648207149 g
68 27.1896490717 g
69 27.2024199554 g
70 27.2326937899 g
71 27.2457551246 g
72 27.2670906637 g
73 27.2907566446 g
74 27.3005101499 g
75 27.3241450959 g
76 27.3501747673 g
77 27.3609426401 g
78 27.3817652504 g
79 27.405699198 g
80 27.4158978433 g
81 27.4461092067 g
82 27.4726034236 g
83 27.4815363912 g
84 27.5023786771 g
85 27.5248599338 g
86 27.5377454799 g
87 27.5673381338 g
88 27.5933925302 g
89 27.6060118031 g
90 27.6303109046 g
